token,address,pca_class,source
AAVE,0x4da27a545c0c5b758a6ba100e3a049001de870f5,,exclusions_log.csv
AAVE,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,,exclusions_log.csv
AAVE,0x494aa25fa055d370424ed9db3839e76ee3e9e945,,exclusions_log.csv
ALGO,rh7f44vslahqhtxwo6fpljvg77quyzihgakmngn6cifmwi22waltmlxvai,2,ALGO_pca_exclusions
ALGO,hwlqom2ndmwekeucjfxh7em4zxumu62vrp5iozoezowcltb4eyiiptcuxa,2,ALGO_pca_exclusions
ALGO,ou5436pxo2h2izyyvykozj7pp5fuy4ozrfsi3ja3nzed6i3zwvp5f7ggqa,2,ALGO_pca_exclusions
ALGO,h4oi2i6elgjobzr2yzhqtq5f52w75o22z5jlctfbrke3tomrmdmuvxoeda,2,ALGO_pca_exclusions
ALGO,ki47dcj3kzd4tpv456g4twiai3vkoajh2wxtt6x2v6ptgeu3k3aneehg7u,5,ALGO_pca_exclusions
ALGO,dhbshgfkzeumsev55gd4ngsfllqyldsgfpbcllcq2xn2qjxtz5vz5rfrre,2,ALGO_pca_exclusions
ALGO,crtauoe76o76i3wds4fkyrwysmbpmv4trg4o5pzwiy7zhigqroreqy6f6y,2,ALGO_pca_exclusions
ALGO,fkdxprvuhajkvddaromo4w3p256i46y5j3lypk3coyebxrjeetb27dzzma,2,ALGO_pca_exclusions
ALGO,mkziwvbdbzv7uk6xqy3dflysblsjwcdhdjwk3jahwcfmnjoh4zxqsmouce,2,ALGO_pca_exclusions
ALGO,fhhavjmscwg765ws7o6prmnc7oltue37knbxek3npvhid3g44md3andccy,2,ALGO_pca_exclusions
ALGO,nymnq7bfwnktnje6u6egtnsbqiaaerdrhd3vieinqyfhgsmjxe7cip6gi4,2,ALGO_pca_exclusions
ALGO,mdofecrzjqprxtfufcoyg5lmsnejahuevnw43id2zrjgz7meqvtz7vdrgq,2,ALGO_pca_exclusions
ALGO,qngqxhuffmy6koxbbjfyqhv6bn52yuandrhpv4emnanjjrpgmsr6m3gxqe,2,ALGO_pca_exclusions
ALGO,nrddq7mfrtutmdap4cbxdq2ivp5vslkdasadllanylfikr7nqogouinym4,2,ALGO_pca_exclusions
ALGO,l5blj4fnk6fnm7v5nuvt5qi6nqaerllhyt24xh6rs2duc4wdhpm5lolgby,2,ALGO_pca_exclusions
ALGO,h7cdkbntc4ovbfzxfyg5cezjxa4vdrjght26mxojvbgpi7mmo7vse4rzha,2,ALGO_pca_exclusions
ALGO,ftg3t4w7fy4x2edhmz6y5dfqtxiofamitryydasqixxs6w3aeh7zossgba,2,ALGO_pca_exclusions
ALGO,kn5t3opnygo2qo2es7sh377wfmypubot3ru37esoccwyomq7sawfthxbj4,2,ALGO_pca_exclusions
ALGO,kaujc4xqz3no6nnx5wccgjwplzgedb5rtb7cqbxfnrmclhxpf65tngi6ze,2,ALGO_pca_exclusions
ALGO,lhvwnrkggotssdyk4p4wkxthzi5safkuo5alaw7nj6g76rg4uxlbcwn5lq,2,ALGO_pca_exclusions
ALGO,gjgk42uvzk4idkn5mgp53a6fjehri52pi4e3bbjzrzcqz666bkyilyxi2e,2,ALGO_pca_exclusions
ALGO,k4opphvhenvoff7uncuhavghzzna7virkjnta7a4nzt4ppqby72dm6cosu,2,ALGO_pca_exclusions
ALGO,pwe6i2nrnqkp73a6q5myuyew43f6ysk2zohq6xovnoiwa6b4d64zfsd7qy,2,ALGO_pca_exclusions
ALGO,kqaseqs4emtxpfbdarf2ndjvdj2r5tqlkzf25ryiuy5ychpk7fka2pg7u4,2,ALGO_pca_exclusions
ALGO,qyxdgs2xjjt7qnr6ej2yhnzfonu6rofm6bktbnvt63zxq5oc6iyspndj4u,5,ALGO_pca_exclusions
ALGO,nuvca7anipivqjcti6w5bxbxe2gggrfidpzq73ykn7gqrfq2c3iokp55qu,2,ALGO_pca_exclusions
ALGO,ixa4zfh5mwntq6hg35c5bffv2imstxvil5eigzx7n4adnykrowxqtatwpi,2,ALGO_pca_exclusions
ALGO,lcxgpfla6phfnmbtenqfglhp4x2z7srzegrxurtoj2lwlnuug4kx4eytmy,2,ALGO_pca_exclusions
ALGO,jngqmy2fxvro5ufo3ouittz37k2fgmu2drowoajs26yrrc7e7aynt3agyy,2,ALGO_pca_exclusions
ALGO,mqoztxrbyz6jipgqlnv6y4rehfkvzkbxkijvogeyudplqnyz5yjp72xzoe,5,ALGO_pca_exclusions
ALGO,jbxiuxjhv7wkg5qnve6d4xox7m6hfrt4itvobhuhfok2ygt4whwozqmm5y,5,ALGO_pca_exclusions
ALGO,noa6vr6i5yj632sodt74c6d35tqiuwargfiqmjfo6fdrgivn6tidfwpi44,2,ALGO_pca_exclusions
ALGO,hiap6glzl5vz2s73fqzhx3khzgzqcnuzjcgpmk4q6kismb6ua3ekkyu3cq,5,ALGO_pca_exclusions
ALGO,o4n25ts4z5sc34vz6r6ru74pceiutjfsdsketndyu4cxi3c2bfyxcyekau,2,ALGO_pca_exclusions
ALGO,eu6chysh7zxljqappin6w3ks7vauryzcb5p3zcxmycwnjf6v5rtvl2uphu,2,ALGO_pca_exclusions
ALGO,eg6jxq3tqbwrstr3oedus5rtplma4ktmjiv3n6do7xn2xrkifen64dy3bu,2,ALGO_pca_exclusions
ANYONE,0x0d9a1ca7bc756ae009672db626cde3c9bef583ef,,exclusions_log.csv
ANYONE,0x9642b23ed1e01df1092b92641051881a322f5d4e,,exclusions_log.csv
ANYONE,0x6d6cc65e2060d0a280fcd47b6c22ec5636797fec,,exclusions_log.csv
ARB,0xf3fc178157fb3c87548baa86f9d24ba38e649b58,,exclusions_log.csv
ARB,0xcad7828a19b363a2b44717afb1786b5196974d8e,,exclusions_log.csv
ARB,0x15533b77981cda0f85c4f9a485237df4285d6844,,exclusions_log.csv
ARB,0x140e4d8d4229d5437efd6fc1beeb86cb2bcf9d98,,exclusions_log.csv
ARB,0xd6c8a4e72584f24bd5517afed6c01d21477c17f6,,exclusions_log.csv
ARB,0xef297424bbc64b21fb405532b58fe77299f1e1f4,,exclusions_log.csv
ARB,0xae8cbcef7de8664c3ff5bfc58536c183ffa60b51,,exclusions_log.csv
ATH,0xf9d9f4ae37d09d50a279058c008a4fa98b6336b6,,exclusions_log.csv
ATH,0xa02ba54a0f9840bd286ddf1b4a9c5de08d8d8bbe,,exclusions_log.csv
ATH,0x148f010746c2999abc3fd5533746632ad9771948,,exclusions_log.csv
ATH,0x8cc88d612bff8c7eeb7681481667c459c19bc25f,,exclusions_log.csv
ATH,0x3f69bb14860f7f3348ac8a5f0d445322143f7fee,,exclusions_log.csv
ATH,0xd5c3ee151560e1e5d423410b064bfb6ed3db9c5d,,exclusions_log.csv
ATH,0x3e7e6c3d084879837310d26b30e52d4b56a8c2f4,,exclusions_log.csv
ATH,0xfc7825a20f5beee34506698f7843278156e0bea1,,exclusions_log.csv
AXL,0x54d1774631980b22c85f13bfaf2f45291b22cbf9,,exclusions_log.csv
AXL,0x377b8ce04761754e8ac153b47805a9cf6b190873,,exclusions_log.csv
