token,address,balance,rank,share
W,9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM,570879805.304,1,0.07044411529328455
W,8nDFPaPRbK7HFCS4TprG187s2oNM1UrHm3tVqrSwzdRN,527920810.812111,2,0.0651431599384902
W,Dpfz8BDBmFCSXvsyi468YQZCtNbJXa4KQq3a82DLugvo,149999999.996192,3,0.018509355551818107
W,5LZkATrLwHYCQj2YuVbjjgsDZzBk6YfL4pFQRJmtboT2,149935052.522986,4,0.01850134131265949
W,Apw5cfHw7QcQoMvoT3YRiLJ6s28J27ACJ1kFn8QaKZ4e,102629864.378647,5,0.01266408433378316
W,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,90345651.928368,6,0.011148265294302781
W,Hh29xjUGJYH81GUM9bJU12x9hKwQRH3yJ2pJ77bs92ec,89216576.0,7,0.011008942175611493
W,8Mm46CsqxiyAputDUp2cXHg41HE3BfynTeMBDwzrMZQH,88517845.701478,8,0.010922721858741494
W,FTXtHs8qZC2qP96ReaNsFCc61qo63eSCNrwTwif1UVB1,79683831.670884,9,0.009832642481100393
W,CCeEVQLhUgRAiL1X3Di4oV98CQA71TJvdRwUPwja7RxU,78335701.630884,10,0.009666289026159859
W,ofFJnH6UTyisea37rNr3isNsrC3z2e1nZ1kLtGcUurh,77499991.000017,11,0.009563165924789563
W,9BUcWT9zvixVmpUD7kZ2hcUqRCbd5jTKpVfhk42KPfj5,76065060.190884,12,0.009386101627861729
W,CU61tyfcH39K37GTtmo2PMWeQtcY3zPHdWpMDHoi1rue,75835583.0,13,0.009357785128413648
W,8HeUPZjJqf8ptMPwLA8UVjEVTBmp8GBSYVDtSceirxPf,75385563.0,14,0.00930225459384271
W,CypbSyHVAUBjznx8S3N7Vcc2pqmxffDSC3pqZwy6FY9Z,75075903.0,15,0.009264043880240568
W,9YuGaDKVHM2AmA74xgppLrtnXc548TfKGNibjQaDwKCF,74733791.0,16,0.009221828729262539
W,TnPK81oc8VxyXhjd82fi7kZogPQW6ZZggPBgc3bzi29,74283771.0,17,0.009166298194691601
W,2C8Cug3he2B7AUc5bgp1ekUxmHJAG1sgYTWJTq3LinNm,74130792.0,18,0.009147421243338043
W,6P6mTx26GLxtBh11HsuwXeasF5ooQSMomrY3cNL1RiHN,72382780.0,19,0.008931724072553604
W,7NZaZpd5fjC6fhboZTyPqQEcZLA2qAtmBpcusB8j4Ygd,72242559.0,20,0.008914421403587622
W,97ecyCzFo9kXVUm4pDZSo2LingoYPxiBnpcewjrE1MTD,72064672.0,21,0.008892470912046755
W,42brAgAVNzMBP7aaktPvAmBSPEkehnFQejiZc53EpJFd,70000002.0,22,0.008637699504525805
W,Cn3uZtPwHSNun8a5Yaj1N48B4FpU5iCLed49z8Z1aErq,69664348.0,23,0.008596281243002156
W,GbP4r4jJk9GyZf3X4iSsw8iGwQGGaLnzwiJ8m1jEjagE,60781264.0,24,0.0075001468419565506
W,i8amfHbnv8rmNCtdXDEvZYBNyjYdxbbTYw9Y7y3Yhyk,60739967.0,25,0.007495050969581598
W,9DjN7Znn9SPxHbKv4G4SDZH63WbSWBc9fF5j9hXdHbi1,60718126.0,26,0.007492355884017482
W,HrZJ93XU2f5bH5DUjfH8hHAbeCST1bFdTWN6Yjt81Zaz,60715762.0,27,0.007492064176573977
W,GqbpYeJGEopLQUFjPN23kEvaP85wUNfuQq1UGBV1inzk,60541340.0,28,0.007470541251146369
W,Fc5gjrqAhhFdCk1RonCMjtEvonCFxHY9L82pLVw8qkLx,60537567.0,29,0.0074700756791563775
W,UsGg7JWr3tSLWVejzJzGHkMDVAPq1v1GHE49wVAXvWR,60505842.0,30,0.007466160950457068
W,J4tU69T3QdLmidGPkhPbg67LZCvWQ88aTTugaaip1HBp,60394251.0,31,0.0074523911004874994
W,EVCWYC1jFN7VUZvabX7f2p2Jv1zqP5aEyvuqGJwWJ2zx,60286902.0,32,0.007439144695092949
W,44TZUgEviCzMkY1m7aevyENkzt2q6PQTkzHJ5eZQdXri,60188989.0,33,0.007427062651558341
W,2KjZaU5F1MuYTntXGv87xCNt7bDrcDWcD6hwfEewjZQZ,60140972.0,34,0.007421137560054646
